class_code,class_name
BLM2021,Alt Seviye Programlama
BLM2031,Yapısal Programlama
BLM2041,Bilg.müh.için Sinyaller Ve Sistemler
BLM2051,Seminer
BLM2512,Veri Yapıları Ve Algoritmalar
BLM2521,Ayrık Matematik
BLM3010,Bilgisayar Projesi
BLM3021,Algoritma Analizi
BLM3031,Mikroişlemci Sistemleri
BLM3041,Veritabanı Yönetimi
BLM3051,Veri İletişimi
BLM3120,Bilgiye Erişim Ve Arama Motorları
BLM3580,Sistem Programlama
BLM3590,İstatistiksel Veri Analizi
BLM3720,Bilgisayar Grafiğine Giriş
BLM3760,Uzman Sistemlere Giriş
BLM4011,Bilişim Sistemleri Güvenliği
BLM4540,Görüntü İşleme
BLM4580,Doğal Dil İşlemeye Giriş
BLM4710,Yönetim Bilgi Sistemleri
BLM4770,Yazılım Kalite ve Test Süreci
BLM4800,Veri Madenciliğine Giriş
BLM9000,Bitirme Çalışması
BSP3352,Batı Mitolojisi
BTO4071,Web Tasarımı
BTO4161,Proje Geliştirme Ve Yönetimi 1
CEV1170,Temel Bilgisayar Bilimleri
CEV4071,Atıksuların Arıtılması
CEV4462,Çevre Hukuku
DTP1591,Müzik Teknolojisine Giriş
DTP1801,Solfej 1
DTP2571,Alan Araştırma Teknikleri
DTP2671,Ses Programlama
DTP2801,Solfej 3
DTP2821,Uzmanlık Alan Semineri 1
DTP2931,Tarihsel Müzikoloji
DTP3841,Bilgisayar Ortamında Müzik Yazılımı
DTP4652,Müzik Fiziği
DTP4741,Çalgı Bilgisi Ve Orkestrasyon
DTP4801,Solfej 7
DTP4831,Form Bilgisi 3
DTP4841,Türk Müziği Usulleri 1
EHM1011,Elektronik Ve Haberleşme Mühendisliğine Giriş
EHM1041,İş Sağlığı Ve Güvenliği 1
EHM2122,Elektronik Devreler 1
EHM2141,Lojik Devreler
EHM2152,İşaret Ve Sistemler
EHM2161,Sayısal Çözüm Yöntemleri
EHM3111,Elektronik Devreler 2
EHM3121,Mikrodalga 1
EHM3131,Haberleşme 1
EHM3141,Mikroişlemci Sistemleri
EHM3162,Mikrodalga Ve Antenler Lab.
EHM4200,Tasarım Projesi
EHM4210,Algılayıcılar Ve Dönüştürücüler
EHM4300,Fiber Optiğe Giriş
EHM4330,Optik Haberleşme Sistemleri
