std_no,department_no,department_code,class_department_code,class_code,class_name,period
08033065,033,ISL,IKT,IKT1121,Sosyoloji,GÜZ DÖNEMİ
08012037,012,ELM,ISL,ISL1611,İşletme Bilimine Giriş,GÜZ DÖNEMİ
06014037,014,EHM,ISL,ISL3621,Üretim Yönetimi,GÜZ DÖNEMİ
01071116,071,MIM,ITB,ITB3010,Sosyoloji,GÜZ DÖNEMİ
09011033,011,BLM,ITB,ITB3020,Felsefeye Giriş,GÜZ DÖNEMİ
03083017,083,DTP,ITB,ITB3040,20.Yüzyılda Siy.Geliş.ve Top.Hareketler,GÜZ DÖNEMİ
07023036,023,IST,ITB,ITB3150,Tarih ve Sinema,GÜZ DÖNEMİ
03071034,071,MIM,ITB,ITB3150,Tarih ve Sinema,GÜZ DÖNEMİ
02042110,042,INS,ITB,ITB3330,Çevre Ve Ekoloji,GÜZ DÖNEMİ
09065205,065,MAK,ITB,ITB3330,Çevre Ve Ekoloji,GÜZ DÖNEMİ
08012020,012,ELM,ITB,ITB3420,Osmanlı Devletinin Toplumsal Yapısı,GÜZ DÖNEMİ
09024089,024,KIM,ITB,ITB3420,Osmanlı Devletinin Toplumsal Yapısı,GÜZ DÖNEMİ
08012037,012,ELM,ITB,ITB3560,Siyaset Felsefesi,GÜZ DÖNEMİ
09065078,065,MAK,ITB,ITB4100,Toplumsal Yapılar Ve Tarihsel Dönüşümler,GÜZ DÖNEMİ
08071103,071,MIM,MIM,MIM2421,Mimarlık Tarihi,GÜZ DÖNEMİ
08012902,012,ELM,ISL,ISL4420,Satış Yönetimi,BAHAR DÖNEMİ
06052002,052,MTM,ITB,ITB2040,Ekonomi Politikaları ve Uygulamaları,BAHAR DÖNEMİ
09065205,065,MAK,ITB,ITB2040,Ekonomi Politikaları ve Uygulamaları,BAHAR DÖNEMİ
03071034,071,MIM,ITB,ITB2090,Demokrasi Kültürünün İlke ve Kurumları,BAHAR DÖNEMİ
07065707,065,MAK,ITB,ITB3010,Sosyoloji,BAHAR DÖNEMİ
03071034,071,MIM,ITB,ITB3010,Sosyoloji,BAHAR DÖNEMİ
08033065,033,ISL,ITB,ITB3040,20.Yüzyılda Siy.Geliş.ve Top.Hareketler,BAHAR DÖNEMİ
08061002,061,END,ITB,ITB3270,"İstanbul:Dün,Bugün ve Yarın",BAHAR DÖNEMİ
09042059,042,INS,ITB,ITB3330,Çevre Ve Ekoloji,BAHAR DÖNEMİ
02042110,042,INS,ITB,ITB3330,Çevre Ve Ekoloji,BAHAR DÖNEMİ
09025044,025,MAT,ITB,ITB3330,Çevre Ve Ekoloji,BAHAR DÖNEMİ
07023036,023,IST,ITB,ITB3420,Osmanlı Devletinin Toplumsal Yapısı,BAHAR DÖNEMİ
09023701,023,IST,ITB,ITB3420,Osmanlı Devletinin Toplumsal Yapısı,BAHAR DÖNEMİ
03071034,071,MIM,ITB,ITB3570,Eğitim Felsefesi,BAHAR DÖNEMİ
08065164,065,MAK,ITB,ITB4100,Toplumsal Yapılar Ve Tarihsel Dönüşümler,BAHAR DÖNEMİ
06071048,071,MIM,MIM,MIM1422,Sanat Ve Mimarlık Tarihine Giriş,BAHAR DÖNEMİ
17093002,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
17093020,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
17093041,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
18093004,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
18093012,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
18093020,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
18093022,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
18093023,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
18093028,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
18093033,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
18093034,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
18093036,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
18093041,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
18093045,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
18093049,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
18093054,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
18093056,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
18093058,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
18093061,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19093001,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19093002,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19093016,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19093024,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19093031,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19093053,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19093057,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19093059,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19094016,094,PDR,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19094040,094,PDR,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19095036,095,FBO,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19095056,095,FBO,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19096003,096,SNF,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19096014,096,SNF,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19096018,096,SNF,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19096021,096,SNF,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19096030,096,SNF,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19096032,096,SNF,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19096035,096,SNF,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19096038,096,SNF,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19096040,096,SNF,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19096041,096,SNF,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19096045,096,SNF,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19096049,096,SNF,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19096052,096,SNF,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19096054,096,SNF,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19096055,096,SNF,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19096060,096,SNF,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19097615,097,SBO,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19099008,099,OKL,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
20093038,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
20093605,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
20094005,094,PDR,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
20097037,097,SBO,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
16093034,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
17093005,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
17093017,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
17093056,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
18093006,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
18093014,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
18093057,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
18097008,097,SBO,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
18097009,097,SBO,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
18097012,097,SBO,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
18097015,097,SBO,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
18097027,097,SBO,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
18097046,097,SBO,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
18097049,097,SBO,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
18097051,097,SBO,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19093603,093,ING,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19096016,096,SNF,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19096017,096,SNF,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19096019,096,SNF,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19096022,096,SNF,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19096024,096,SNF,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19096027,096,SNF,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19096042,096,SNF,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19096048,096,SNF,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19096051,096,SNF,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19096061,096,SNF,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19097020,097,SBO,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19097022,097,SBO,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19097032,097,SBO,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19097038,097,SBO,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
19097045,097,SBO,BTO,BTO2910,Medya Okuryazarlığı,GÜZ DÖNEMİ
