department_code,department_name
BTO,Bilgisayar ve Öğretim Teknolojileri
PDR,Rehberlik ve Psikolojik Danışmanlık
FBO,Fen Bilgisi Eğitimi
OKL,Okulöncesi Eğitimi
SNF,Sınıf Öğretmenliği
SBO,Sosyal Bilgiler Eğitimi
ING,İngilizce Öğretmenliği
BLM,Bilgisayar Mühendisliği
ELM,Elektrik Mühendisliği
EHM,Elektronik ve Haberleşme Mühendisliği
KOM,Kontrol Otomasyon Mühendisliği
MTF,Fransızca Mütercim Tercümanlık
FIZ,Fizik
IST,İstatistik
KIM,Kimya
MAT,Matematik
MBG,Moleküler Biyoloji ve Genetik
TDE,Türk Dili ve Edebiyatı
IKT,İktisat
ISL,İşletme
SBU,Siyaset Bilimi ve Uluslararası İlişkiler
CEV,Çevre Mühendisliği
HRT,Harita Mühendisliği
INS,İnşaat Mühendisliği
BYM,Biyomühendislik
GDM,Gıda Mühendisliği
KMM,Kimya Mühendisliği
MTM,Matematik Mühendisliği
END,Endüstri Mühendisliği
MAK,Makine Mühendisliği
MKT,Mekatronik Mühendisliği
KVK,Kültür Varlıklarını Koruma ve Onarım
MIM,Mimarlık
SBP,Şehir ve Bölge Planlama
ILT,İletişim ve Tasarımı
MTP,Müzik Toplulukları
DTP,Ses Sanatları Tasarımı
BSP,Bileşik Sanatlar
SYP,Sanat ve Kültür Yönetimi
FVP,Fotoğraf ve Video
GRA,Grafik Tasarımı
