department_code,vocational_elective_courses
BLM,"['IKT3670', 'IKT4630', 'BME3160', 'BME3210', 'BME3360', 'BME3500', 'BME3570', 'BME3600', 'EHM4130', 'EHM4140', 'EHM4210', 'EHM4220', 'EHM4240', 'EHM4260', 'EHM4270', 'EHM4280', 'EHM4290', 'EHM4300', 'EHM4310', 'EHM4320', 'EHM4330', 'EHM4340', 'EHM4350', 'EHM4360', 'EHM4380', 'EHM4390', 'EHM4800', 'EHM4810', 'EHM4830', 'EHM4850', 'EHM4860', 'EHM4870', 'EHM4880', 'EHM4890', 'ELM4100', 'ELM4202', 'ELM4270', 'ELM4280', 'ELM4290', 'ELM4300', 'ELM4500', 'ELM4770', 'ELM4780', 'ELM4790', 'ELM4810', 'ELM4820', 'ELM4830', 'ELM4850', 'ELM4870', 'ELM4880', 'ELM4890', 'ELM4900', 'ELM4930', 'ELM4940', 'ELM4950', 'ELM4960', 'ELM4970', 'ELM4980', 'ELM4990', 'BLM4992', 'BLM4993', 'BLM4994', 'BLM3110', 'BLM3120', 'BLM3130', 'BLM3520', 'BLM3580', 'BLM3590', 'BLM3620', 'BLM3720', 'BLM3740', 'BLM3750', 'BLM3810', 'BLM4110', 'BLM4120', 'BLM4130', 'BLM4510', 'BLM4520', 'BLM4530', 'BLM4540', 'BLM4580', 'BLM3760', 'BLM4780', 'BLM4590', 'BLM3780', 'BLM4610', 'BLM4710', 'BLM4760', 'BLM4800', 'BLM4830', 'BLM4860', 'BLM4500', 'BLM4900', 'BLM4920', 'BLM4770']"
BSP,"['BSP2141', 'BSP2321', 'BSP2372', 'BSP2411', 'BSP2412', 'BSP2421', 'BSP2441', 'FVP1402', 'FVP2401', 'SYP1422', 'SYP2441', 'MIM4321', 'SBU2572', 'BSP3131', 'BSP4332', 'BSP3141', 'BSP3301', 'BSP3352', 'BSP3371', 'BSP3992', 'FVP2411', 'FVP2431', 'FVP3702', 'SYP1392', 'BSP2422', 'BSP4382', 'BSP3311', 'FVP3722', 'BSP3341', 'SYP4451', 'SYP4462', 'SYP4472']"
BTO,"['EGT2050', 'EGT2060', 'EGT2070', 'EGT2080', 'EGT2090', 'EGT2100', 'EGT2110', 'EGT2120', 'EGT2140', 'EGT2150', 'EGT2160', 'EGT2170', 'EGT2180', 'EGT2190', 'EGT2200', 'EGT2210', 'EGT2220', 'EGT2230', 'EGT2240', 'EGT2250', 'EGT2260', 'BTO2110', 'BTO2120', 'BTO2130', 'BTO2140', 'BTO2150', 'BTO2160', 'BTO2170', 'BTO2180', 'BTO2190', 'BTO2210', 'BTO2220', 'BTO2230', 'BTO2240']"
BYM,"['BYM2201', 'BYM2301', 'BYM2401', 'BYM2502', 'BYM2602', 'BYM2702', 'BYM3331', 'BYM3361', 'BYM3521', 'BYM3651', 'BYM3402', 'BYM3502', 'BYM3602', 'BYM3802', 'BYM4321', 'BYM4451', 'BYM4521', 'BYM4661', 'BYM4691', 'BYM4721', 'BYM4851', 'BYM4102', 'BYM4202', 'BYM4302', 'BYM4502', 'BYM4292', 'BYM4472', 'BYM4672']"
CEV,"['CEV1142', 'INS2932', 'CEV2231', 'INS2921', 'CEV2132', 'CEV2142', 'HRT3132', 'HRT3142', 'HRT3152', 'HRT3242', 'HRT3262', 'HRT3372', 'HRT3462', 'HRT3472', 'CEV2152', 'INS4272', 'CEV4211', 'CEV4991', 'CEV4111', 'CEV4121', 'CEV4131', 'CEV4141', 'CEV4151', 'CEV4161', 'CEV4171', 'CEV4181', 'CEV4191', 'CEV4522', 'CEV4341', 'CEV4351', 'CEV4461', 'CEV4491', 'CEV4501', 'CEV4521', 'CEV4972', 'CEV4982', 'CEV4992', 'CEV4052', 'CEV4062', 'CEV4072', 'CEV4082', 'CEV4092', 'CEV4112', 'CEV4122', 'CEV4132', 'CEV4142', 'CEV4152', 'CEV4162', 'CEV4172', 'CEV4182', 'CEV4192', 'CEV4352', 'CEV4362', 'CEV4372', 'CEV4382', 'CEV4392', 'CEV4452', 'CEV4612', 'CEV4622', 'CEV4632', 'CEV4642', 'CEV4652', 'CEV4662', 'BYM1602', 'BYM2202', 'ISL3631', 'ISL1622', 'MTM4501', 'KMM4711', 'HRT4512', 'HRT3350', 'INS2101', 'INS4751', 'INS3892']"
DTP,"['DTP1521', 'DTP1511', 'DTP1531', 'DTP1541', 'DTP1591', 'DTP1552', 'DTP1562', 'DTP1572', 'DTP1582', 'DTP2511', 'DTP2521', 'DTP2541', 'DTP2931', 'DTP2512', 'DTP2522', 'DTP2542', 'DTP2582', 'DTP2512', 'DTP2522', 'DTP2542', 'DTP2582', 'DTP2512', 'DTP2522', 'DTP2542', 'DTP2582', 'DTP4511', 'DTP4521', 'DTP4531', 'DTP4541', 'DTP2671', 'DTP2672', 'DTP2701', 'DTP2722', 'DTP2751', 'DTP2861', 'DTP2872', 'MTP4251', 'MTP4252', 'DTP2671', 'DTP2672', 'DTP2701', 'DTP2722', 'DTP2751', 'DTP2861', 'DTP2872', 'MTP4251', 'MTP4252', 'DTP4550', 'DTP4642', 'DTP4652', 'DTP4681', 'DTP4691', 'DTP4692', 'DTP4741', 'DTP4762', 'DTP4782', 'DTP4791', 'ILT3251', 'MTP3251']"
EHM,"['MKT4846', 'EHM3161', 'EHM3171', 'EHM3181', 'EHM3191', 'EHM3731', 'BME2132', 'EHM4992', 'EHM4993', 'EHM4994', 'BLM3110', 'BLM3120', 'BLM3130', 'BLM3580', 'BLM3620', 'BLM3720', 'BLM3740', 'BLM3760', 'BLM3810', 'BLM4110', 'BLM4120', 'BLM4520', 'BLM4530', 'BLM4540', 'BLM4580', 'BLM4760', 'BLM4830', 'BLM4860', 'BLM4920', 'BME3160', 'BME3210', 'BME3360', 'BME3500', 'BME3570', 'BME3600', 'BME4500', 'BME4600', 'ELM4100', 'ELM4202', 'ELM4270', 'ELM4280', 'ELM4290', 'ELM4300', 'ELM4500', 'ELM4770', 'ELM4780', 'ELM4790', 'ELM4810', 'ELM4820', 'ELM4830', 'ELM4850', 'ELM4870', 'ELM4880', 'ELM4890', 'ELM4900', 'ELM4930', 'ELM4940', 'ELM4950', 'ELM4960', 'ELM4970', 'ELM4980', 'ELM4990', 'EHM4150', 'EHM4140', 'EHM4210', 'EHM4220', 'EHM4230', 'EHM4240', 'EHM4260', 'EHM4270', 'EHM4280', 'EHM4290', 'EHM4300', 'EHM4310', 'EHM4320', 'EHM4330', 'EHM4340', 'EHM4350', 'EHM4360', 'EHM4370', 'EHM4380', 'EHM4390', 'EHM4800', 'EHM4810', 'EHM4820', 'EHM4830', 'EHM4840', 'EHM4850', 'EHM4860', 'EHM4870', 'EHM4880', 'EHM4890', 'EHM4130']"
ELM,"['ELM2080', 'ELM2010', 'ELM2020', 'ELM2030', 'ELM2040', 'ELM2050', 'ELM2060', 'ELM2070', 'ELM3292', 'ELM3252', 'ELM3262', 'ELM3272', 'ENF1210', 'ELM4035', 'ELM4045', 'ELM4055', 'MTM2602', 'ELM4010', 'ELM4020', 'ELM4030', 'ELM4040', 'ELM4050', 'ELM4060', 'ELM4070', 'ELM4080', 'ELM4090', 'ELM4401', 'ELM4411', 'ELM4421', 'ELM4431', 'ELM4351', 'ELM4612', 'ELM4622', 'ELM4632', 'ELM4642', 'ELM4112', 'ELM4122', 'BLM3110', 'BLM3120', 'BLM3130', 'BLM3580', 'BLM3620', 'BLM3720', 'BLM3740', 'BLM3760', 'BLM3810', 'BME3160', 'BME3210', 'BME3360', 'BME3500', 'BME3570', 'BME3600', 'BME4500', 'BME4600', 'EHM4130', 'EHM4140', 'EHM4210', 'EHM4220', 'EHM4240', 'EHM4260', 'EHM4270', 'EHM4280', 'EHM4290', 'EHM4300', 'EHM4310', 'EHM4320', 'EHM4330', 'EHM4340', 'EHM4350', 'EHM4360', 'EHM4380', 'EHM4390', 'EHM4800', 'EHM4810', 'EHM4830', 'EHM4850', 'EHM4860', 'EHM4870', 'EHM4880', 'EHM4890', 'ELM4301', 'ELM4302', 'IKT3650', 'ELM4281', 'ELM4270', 'ELM4280', 'ELM4290', 'ELM4300', 'ELM4770', 'ELM4780', 'ELM4790', 'ELM4800', 'ELM4810', 'ELM4820', 'ELM4830', 'ELM4500', 'ELM4840', 'ELM4850', 'ELM4860', 'ELM4870', 'ELM4880', 'ELM4890', 'ELM4900', 'ELM4910', 'ELM4920', 'ELM4930', 'ELM4940', 'ELM4950', 'ELM4960', 'ELM4970', 'ELM4961', 'ELM4990', 'ELM4100', 'ELM4980', 'ELM4202']"
END,"['MAK4422', 'MAK3071', 'MAK3081', 'MAK3102', 'MAK3141', 'MAK3151', 'MAK3162', 'MAK3181', 'MAK3191', 'MAK3201', 'MAK3252', 'MAK3272', 'MAK3372', 'MAK3401', 'MAK3402', 'MAK3431', 'MAK3441', 'MAK3451', 'MAK3452', 'MAK3461', 'MAK3462', 'MAK3471', 'MAK3472', 'MAK3482', 'MAK3502', 'MAK3561', 'MAK3572', 'MAK3582', 'MAK3592', 'MAK3602', 'MAK3652', 'MAK3662', 'MAK3671', 'MAK3672', 'MAK3681', 'MAK3682', 'MAK3691', 'MAK3692', 'MAK3782', 'MAK3792', 'MAK3802', 'MAK3812', 'MAK3882', 'MAK3961', 'MAK4052', 'MAK4062', 'MAK4071', 'MAK4082', 'MAK4092', 'MAK4152', 'MAK4172', 'MAK4181', 'MAK4182', 'MAK4192', 'MAK4202', 'MAK4241', 'MAK4242', 'MAK4251', 'MAK4252', 'MAK4261', 'MAK4282', 'MAK4292', 'MAK4302', 'MAK4401', 'MAK4402', 'MAK4461', 'MAK4481', 'MAK4491', 'MAK4492', 'MAK4502', 'MAK4542', 'MAK4521', 'MAK4522', 'MAK4532', 'MAK4541', 'MAK4552', 'MAK4561', 'MAK4562', 'MAK4571', 'MAK4581', 'MAK4582', 'MAK4591', 'MAK4592', 'MAK4601', 'MAK4602', 'MAK4651', 'MAK4652', 'MAK4661', 'MAK4662', 'MAK4671', 'MAK4672', 'MAK4681', 'MAK4682', 'MAK4692', 'MAK4702', 'MAK4801', 'MAK4882', 'MAK4891', 'MAK4892', 'MAK4901', 'MAK4902', 'MAK4911', 'MAK4912', 'MAK4921', 'MAK4922', 'MAK4931', 'MAK4941', 'MAK4942', 'MAK4962', 'MAK4972', 'MAK4982', 'END3580', 'END3590', 'END3710', 'END3730', 'END3750', 'END3760', 'END3770', 'END3820', 'END3830', 'END3850', 'END3860', 'END3940', 'END3950', 'END3750', 'END3560', 'END3570', 'END3870', 'END3880', 'END3890', 'END3900', 'END3910', 'END3920', 'END3930', 'END3960', 'END3980', 'END3990', 'SBP4310', 'SBP4360', 'END4660', 'END4670', 'END4680', 'END4690', 'END4710', 'END4720', 'END4770', 'END4810', 'END4820', 'END4830', 'END4850', 'END4890', 'END4950', 'END4960', 'END4970', 'END4990', 'MDB2001', 'END4360', 'END4370', 'END4380', 'END4390', 'END4400', 'END4410', 'END4420', 'END4430', 'END4440', 'END4450', 'END4460', 'END4470', 'END4480', 'END4490', 'END4500', 'END4650']"
FBO,"['EGT2050', 'EGT2060', 'EGT2070', 'EGT2080', 'EGT2090', 'EGT2100', 'EGT2110', 'EGT2120', 'EGT2130', 'EGT2140', 'EGT2150', 'EGT2160', 'EGT2170', 'EGT2180', 'EGT2190', 'EGT2200', 'EGT2210', 'EGT2220', 'EGT2230', 'EGT2240', 'EGT2250', 'EGT2260', 'FBO2020', 'FBO2030', 'FBO2040', 'FBO2050', 'FBO2060', 'FBO2070', 'FBO2080', 'FBO2090', 'FBO2110', 'FBO2120']"
FIZ,"['FIZ3370', 'FIZ3420', 'FIZ3430', 'FIZ3610', 'FIZ3620', 'FIZ3630', 'FIZ3640', 'FIZ4440', 'FIZ4450', 'FIZ4460', 'FIZ4470', 'FIZ4480', 'FIZ4490', 'FIZ4510', 'FIZ4790', 'FIZ4520', 'FIZ4530', 'FIZ4540', 'FIZ4550', 'FIZ4560', 'FIZ4570', 'FIZ4580', 'FIZ4590', 'FIZ9901', 'FIZ9902', 'EHM4800', 'FIZ3650', 'FIZ4110', 'FIZ4290', 'FIZ4430', 'FIZ4610', 'FIZ4620', 'FIZ4640', 'FIZ4690', 'FIZ4810', 'FIZ4820', 'FIZ9903', 'FIZ4702', 'FIZ4712', 'FIZ4722', 'FIZ9904']"
FVP,"['FVP1422', 'FVP1402', 'FVP1412', 'SYP2572', 'SYP1072', 'FVP2441', 'FVP2401', 'FVP2471', 'FVP2451', 'FVP2431', 'FVP2411', 'FVP2901', 'BSP2541', 'MDB2051', 'FVP2472', 'FVP2442', 'FVP2462', 'FVP2452', 'FVP2152', 'FVP2912', 'BSP2362', 'BSP2262', 'FVP3721', 'FVP3702', 'FVP3711', 'FVP3441', 'BSP2441', 'FVP3431', 'FVP3421', 'FVP3411', 'SYP3221', 'SYP2131', 'FVP3911', 'BSP3361', 'BSP3261', 'FVP3722', 'FVP3742', 'FVP3402', 'FVP3442', 'FVP3142', 'FVP3472', 'FVP3452', 'FVP3462', 'FVP3932', 'MDB3032', 'FVP4551', 'FVP4401', 'FVP4411', 'FVP4451', 'FVP4441', 'FVP4421', 'FVP4431', 'FVP4542', 'FVP4461', 'FVP4702', 'FVP4822', 'FVP4712', 'FVP4472', 'FVP4442', 'FVP4482', 'FVP4452', 'FVP4462']"
