std_no,department_no,class_code,class_name,period
08011013,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
09011033,011,BLM3120,Bilgiye Erişim Ve Arama Motorları,GÜZ DÖNEMİ
08011057,011,BLM3580,Sistem Programlama,GÜZ DÖNEMİ
08011060,011,BLM3590,İstatistiksel Veri Analizi,GÜZ DÖNEMİ
09011033,011,BLM3720,Bilgisayar Grafiğine Giriş,GÜZ DÖNEMİ
05011034,011,BLM3760,Uzman Sistemlere Giriş,GÜZ DÖNEMİ
08011080,011,BLM4540,Görüntü İşleme,GÜZ DÖNEMİ
09011033,011,BLM4580,Doğal Dil İşlemeye Giriş,GÜZ DÖNEMİ
05011705,011,BLM4710,Yönetim Bilgi Sistemleri,GÜZ DÖNEMİ
08011013,011,BLM4710,Yönetim Bilgi Sistemleri,GÜZ DÖNEMİ
08011057,011,BLM4710,Yönetim Bilgi Sistemleri,GÜZ DÖNEMİ
08011080,011,BLM4710,Yönetim Bilgi Sistemleri,GÜZ DÖNEMİ
09011079,011,BLM4710,Yönetim Bilgi Sistemleri,GÜZ DÖNEMİ
08011057,011,BLM4770,Yazılım Kalite ve Test Süreci,GÜZ DÖNEMİ
09011033,011,BLM4800,Veri Madenciliğine Giriş,GÜZ DÖNEMİ
08083005,083,DTP1591,Müzik Teknolojisine Giriş,GÜZ DÖNEMİ
08083005,083,DTP2671,Ses Programlama,GÜZ DÖNEMİ
08083005,083,DTP2931,Tarihsel Müzikoloji,GÜZ DÖNEMİ
03083017,083,DTP4652,Müzik Fiziği,GÜZ DÖNEMİ
03083017,083,DTP4741,Çalgı Bilgisi Ve Orkestrasyon,GÜZ DÖNEMİ
08083005,083,DTP4841,Türk Müziği Usulleri 1,GÜZ DÖNEMİ
07014109,014,EHM4210,Algılayıcılar Ve Dönüştürücüler,GÜZ DÖNEMİ
07014086,014,EHM4300,Fiber Optiğe Giriş,GÜZ DÖNEMİ
07014109,014,EHM4330,Optik Haberleşme Sistemleri,GÜZ DÖNEMİ
07014086,014,EHM4340,Analog Tümdevreler,GÜZ DÖNEMİ
08014026,014,EHM4340,Analog Tümdevreler,GÜZ DÖNEMİ
07014109,014,EHM4840,Görüntü İşleme,GÜZ DÖNEMİ
08014026,014,EHM4840,Görüntü İşleme,GÜZ DÖNEMİ
06014037,014,EHM4880,Elektronik Savunma Sistemlerine Giriş,GÜZ DÖNEMİ
07014109,014,EHM4880,Elektronik Savunma Sistemlerine Giriş,GÜZ DÖNEMİ
08014026,014,EHM4880,Elektronik Savunma Sistemlerine Giriş,GÜZ DÖNEMİ
08012902,012,ELM4045,Güç Sistemlerinin Optimizasyonu,GÜZ DÖNEMİ
07022076,022,FIZ4450,Süperiletkenliğe Giriş,GÜZ DÖNEMİ
07022076,022,FIZ4470,Biyofizik,GÜZ DÖNEMİ
07022076,022,FIZ4590,Sağlık Fiziği,GÜZ DÖNEMİ
08022088,022,FIZ4590,Sağlık Fiziği,GÜZ DÖNEMİ
07022076,022,FIZ4640,Temel Tanecikler,GÜZ DÖNEMİ
07022076,022,FIZ4690,Katıhal Fiziği 2,GÜZ DÖNEMİ
08084013,084,FVP2441,Analog Fotoğraf,GÜZ DÖNEMİ
08084013,084,FVP3701,Fotoğraf Ve Sanat,GÜZ DÖNEMİ
08084013,084,FVP4411,Foto- Grafik Tasarım,GÜZ DÖNEMİ
09046030,046,HRT4171,Koordinat Sistemleri,GÜZ DÖNEMİ
09046050,046,HRT4171,Koordinat Sistemleri,GÜZ DÖNEMİ
09046031,046,HRT4361,Madencilik Ölçmeleri,GÜZ DÖNEMİ
05042017,042,INS2931,İstatistik,GÜZ DÖNEMİ
06042097,042,INS2942,Sayısal Analiz,GÜZ DÖNEMİ
03042176,042,INS3122,Toprak Dolgular Ve Derin Kazılar,GÜZ DÖNEMİ
03042176,042,INS3222,Kıyı Hidroliğine Giriş,GÜZ DÖNEMİ
06042030,042,INS3222,Kıyı Hidroliğine Giriş,GÜZ DÖNEMİ
06042030,042,INS3712,İleri Beton Teknolojisi,GÜZ DÖNEMİ
05042169,042,INS4112,Geoteknik Deprem Mühendisliği,GÜZ DÖNEMİ
09042008,042,INS4232,Barajlar,GÜZ DÖNEMİ
09042008,042,INS4251,Sulama- Kurutma,GÜZ DÖNEMİ
08042070,042,INS4272,Drenaj Tekniği,GÜZ DÖNEMİ
05042169,042,INS4421,Karayolu Üstyapıları,GÜZ DÖNEMİ
08042070,042,INS4491,Trafik Mühendisliği,GÜZ DÖNEMİ
08042070,042,INS4582,Betonarme 3,GÜZ DÖNEMİ
06042020,042,INS4721,Binalarda Isı Yalıtımı Tasarımı,GÜZ DÖNEMİ
09042059,042,INS4721,Binalarda Isı Yalıtımı Tasarımı,GÜZ DÖNEMİ
03042248,042,INS4741,Betonun Dayanıklılığı,GÜZ DÖNEMİ
09042059,042,INS4741,Betonun Dayanıklılığı,GÜZ DÖNEMİ
06042030,042,INS4812,İnşaat Makineleri,GÜZ DÖNEMİ
09042059,042,INS4812,İnşaat Makineleri,GÜZ DÖNEMİ
09042905,042,INS4812,İnşaat Makineleri,GÜZ DÖNEMİ
09023039,023,IST3130,Karar Teorisi,GÜZ DÖNEMİ
09023057,023,IST3230,Planlama Teknikleri,GÜZ DÖNEMİ
09024089,024,KIM2061,"Kimyasallar, Tehlikeleri Ve Korunma Yolları",GÜZ DÖNEMİ
08065162,065,MAK3081,Analitik Mekanik,GÜZ DÖNEMİ
09065205,065,MAK3081,Analitik Mekanik,GÜZ DÖNEMİ
09065106,065,MAK3141,Enerji Ekonomisi 1,GÜZ DÖNEMİ
09065205,065,MAK3151,Enerji Sistemlerinde Optimizasyon,GÜZ DÖNEMİ
09065106,065,MAK3181,Sıhhi Tesisat,GÜZ DÖNEMİ
09065205,065,MAK4071,Mekanizma Tekniği 1,GÜZ DÖNEMİ
