department_code,elective_courses
GRA,"['GRA2100', 'GRA2110', 'GRA2120', 'GRA2130', 'GRA2140', 'GRA2150', 'GRA2160', 'GRA2170', 'GRA2180', 'GRA2190', 'GRA2200', 'GRA2210', 'GRA2220', 'GRA3100', 'GRA3110', 'GRA3120', 'GRA3130', 'GRA3140', 'GRA3150', 'GRA3160', 'GRA3170', 'GRA3180', 'GRA3190', 'GRA3200', 'GRA3210', 'GRA3220', 'GRA3230', 'GRA3240', 'GRA3250', 'GRA3260', 'GRA3270', 'GRA3280', 'GRA3290', 'GRA3300', 'GRA3310', 'GRA3320', 'GRA4100', 'GRA4110', 'GRA4120', 'GRA4130', 'GRA4140', 'GRA4150', 'GRA4160', 'GRA4170', 'GRA4180', 'GRA4190', 'GRA4200', 'GRA4210', 'GRA4220', 'GRA4230', 'GRA4240', 'GRA4250', 'GRA4260', 'GRA4270', 'GRA4280', 'GRA4290', 'GRA4300', 'GRA4310', 'GRA4320', 'GRA4330']"
FVP,"['FVP1402', 'FVP1412', 'FVP2441', 'FVP2401', 'FVP2471', 'FVP2451', 'FVP2431', 'FVP2411', 'FVP2901', 'FVP2472', 'FVP2442', 'FVP2462', 'FVP2452', 'FVP2152', 'FVP2912', 'FVP3721', 'FVP3701', 'FVP3711', 'FVP3431', 'FVP3421', 'FVP3411', 'FVP3911', 'FVP3722', 'FVP3742', 'FVP3402', 'FVP3442', 'FVP3142', 'FVP3452', 'FVP3462', 'FVP3932', 'FVP4551', 'FVP4401', 'FVP4411', 'FVP4451', 'FVP4441', 'FVP4421', 'FVP4431', 'FVP4542', 'FVP4461', 'FVP4702', 'FVP4822', 'FVP4712', 'FVP4472', 'FVP4442', 'FVP4482', 'FVP4452', 'FVP4462']"
SYP,"['SYP1432', 'SYP2110', 'SYP2140', 'SYP2510', 'SYP2770', 'SYP2550', 'SYP2440', 'SYP2772', 'SYP2441', 'SYP3250', 'SYP3341', 'SYP4541', 'SYP4474', 'SYP3282', 'SYP3200', 'SYP4492', 'SYP4641', 'SYP3322', 'SYP3660', 'SYP4321', 'SYP4472', 'SYP3621', 'SYP4331', 'SYP4200', 'SYP3282', 'SYP4411', 'SYP4341', 'SYP4521', 'SYP4410', 'SYP4512', 'SYP3980', 'SYP4471', 'SYP4462', 'SYP4460', 'SYP4211', 'SYP2982', 'SYP2380', 'SYP2480', 'SYP1021', 'SYP2570', 'SYP2670', 'SYP3570', 'SYP3680', 'SYP3690', 'SYP3662', 'SYP3542', 'SYP3362', 'BSP3352', 'BSP2441', 'BSP3352', 'BSP2441', 'BSP2422', 'BSP3301', 'BSP3282', 'BSP2541', 'FVP3701', 'FVP3161', 'FVP3452', 'FVP3251', 'FVP4411', 'FVP4421', 'FVP2452']"
BSP,"['BSP2141', 'BSP2321', 'BSP2372', 'BSP2411', 'BSP2412', 'BSP2421', 'BSP2441', 'BSP2541', 'BSP2262', 'BSP2362', 'BSP3261', 'BSP3361', 'BSP3642', 'BSP3131', 'BSP4332', 'BSP3141', 'BSP3301', 'BSP3352', 'BSP3371', 'BSP3992', 'BSP2422', 'BSP4382', 'BSP3311', 'BSP3341', 'BSP2401', 'BSP2322', 'BSP2561', 'BSP4211', 'FVP1402', 'FVP2401', 'FVP2411', 'FVP2431', 'FVP3701', 'FVP3722', 'SYP1422', 'SYP2441', 'SYP1392', 'SYP4451', 'SYP4462', 'SYP4472', 'MIM4321', 'SBU2572']"
DNS,"['DNS2651', 'DNS2652', 'DNS2681', 'DNS2682', 'DNS3701', 'DNS3702', 'DNS3711', 'DNS3722', 'DNS3732', 'DNS4711', 'DNS4712', 'DNS4721', 'DNS4741', 'DNS4752', 'MTP3181', 'MTP4181', 'MTP4251', 'MTP4252', 'MTP4740']"
DTP,"['DTP1511', 'DTP1531', 'DTP1541', 'DTP1591', 'DTP1552', 'DTP1562', 'DTP1572', 'DTP1582', 'DTP2511', 'DTP2521', 'DTP2541', 'DTP2931', 'DTP2512', 'DTP2522', 'DTP2542', 'DTP2582', 'DTP3511', 'DTP3521', 'DTP3541', 'DTP3561', 'DTP3542', 'DTP3562', 'DTP3572', 'DTP3592', 'DTP4511', 'DTP4521', 'DTP4531', 'DTP4541', 'DTP2671', 'DTP2672', 'DTP2701', 'DTP2722', 'DTP2751', 'DTP2861', 'DTP2872', 'DTP4662', 'DTP4841', 'DTP4852', 'DTP4301', 'DTP2571', 'DTP2862', 'DTP3861', 'DTP3522', 'DTP4550', 'DTP4642', 'DTP4652', 'DTP4681', 'DTP4691', 'DTP4692', 'DTP4741', 'DTP4762', 'DTP4782', 'DTP4791', 'MTP4251', 'MTP4252', 'MTP4740', 'MTP4750', 'MTP2281', 'MTP2232', 'MTP2282', 'MTP3231', 'MTP3281', 'MTP3282', 'MTP3251', 'BSP2322', 'BSP2372', 'BSP2421', 'BSP3301', 'BSP3341', 'BSP3352', 'BSP3371', 'BSP4332', 'ILT2732', 'ILT3722', 'ILT4712', 'SYP1392', 'SYP1422', 'SYP2441', 'SYP4451', 'SYP4462']"
MTP,"['MTP1721', 'MTP1731', 'MTP1741', 'MTP1751', 'MTP1011', 'MTP1021', 'MTP1031', 'MTP1041', 'MTP1051', 'MTP1061', 'MTP1071', 'MTP1081', 'MTP1091', 'MTP1101', 'MTP1111', 'MTP1121', 'MTP1131', 'MTP1141', 'MTP1761', 'MTP1012', 'MTP1022', 'MTP1032', 'MTP1042', 'MTP1052', 'MTP1062', 'MTP1072', 'MTP1082', 'MTP1092', 'MTP1102', 'MTP1112', 'MTP1122', 'MTP1132', 'MTP1722', 'MTP1172', 'MTP1742', 'MTP1752', 'MTP1142', 'MTP1762', 'MTP2721', 'MTP2011', 'MTP2021', 'MTP2031', 'MTP2041', 'MTP2051', 'MTP2061', 'MTP2071', 'MTP2081', 'MTP2091', 'MTP2241', 'MTP2101', 'MTP2251', 'MTP2261', 'MTP2111', 'MTP2121', 'MTP2131', 'MTP2141', 'MTP2761', 'MTP2191', 'MTP2231', 'MTP2211', 'MTP2221', 'MTP2722', 'MTP2242', 'MTP2262', 'MTP2272', 'MTP2012', 'MTP2022', 'MTP2032', 'MTP2042', 'MTP2052', 'MTP2062', 'MTP2072', 'MTP2082', 'MTP2092', 'MTP2112', 'MTP2122', 'MTP2132', 'MTP2762', 'MTP2102', 'MTP2142', 'MTP2192', 'MTP2202', 'MTP2212', 'MTP2222', 'MTP3141', 'MTP3721', 'MTP3341', 'MTP3441', 'MTP3271', 'MTP3761', 'MTP3011', 'MTP3021', 'MTP3031', 'MTP3041', 'MTP3051', 'MTP3061', 'MTP3071', 'MTP3081', 'MTP3091', 'MTP3101', 'MTP3111', 'MTP3121', 'MTP3131', 'MTP3191', 'MTP3201', 'MTP3211', 'MTP3221', 'MTP3722', 'MTP3342', 'MTP3442', 'MTP3272', 'MTP3762', 'MTP3142', 'MTP3012', 'MTP3022', 'MTP3032', 'MTP3042', 'MTP3052', 'MTP3062', 'MTP3072', 'MTP3082', 'MTP3092', 'MTP3102', 'MTP3112', 'MTP3122', 'MTP3132', 'MTP3192', 'MTP3202', 'MTP3212', 'MTP3222', 'MTP4721', 'MTP4231', 'MTP4271', 'MTP4341', 'MTP4761', 'MTP4141', 'MTP4011', 'MTP4021', 'MTP4031', 'MTP4041', 'MTP4051', 'MTP4061', 'MTP4071', 'MTP4081', 'MTP4091', 'MTP4101', 'MTP4111', 'MTP4121', 'MTP4131', 'MTP4191', 'MTP4201', 'MTP4211', 'MTP4221', 'MTP4122', 'MTP4571', 'MTP4572', 'MTP4582', 'MTP4171', 'MTP4181', 'MTP4241', 'MTP4251', 'MTP4252', 'MTP2281', 'MTP2282', 'MTP2232', 'MTP3281', 'MTP3231', 'MTP3282', 'MTP4262', 'MTP4611', 'MTP4740', 'MTP4750', 'MTP3251', 'MTP3571', 'MTP3171', 'MTP3181', 'MTP3241', 'DTP4762', 'DTP4741', 'DTP4691', 'DTP4692', 'DTP4652', 'DTP2672', 'DTP2671', 'DTP4301', 'DTP4852', 'BSP3141', 'DTP4662', 'DTP4841', 'ILT3722', 'ILT2732', 'ILT4712', 'BSP3341', 'BSP3352', 'BSP3301', 'BSP3371', 'BSP4332', 'BSP2372', 'BSP2421', 'BSP2322', 'SYP1392', 'SYP1422', 'SYP2441', 'SYP4451', 'SYP4462', 'DTP2861', 'DTP2751', 'ILT3251']"
ILT,"['ILT2701', 'ILT2702', 'ILT2711', 'ILT2712', 'ILT2721', 'ILT2722', 'ILT2731', 'ILT2732', 'ILT2750', 'ILT3801', 'ILT3802', 'ILT3811', 'ILT3812', 'ILT4702', 'ILT4712', 'ILT4801', 'ILT4811', 'ILT2801', 'ILT2941', 'ILT2932', 'ILT3931', 'ILT3501', 'ILT3942', 'ILT3932', 'ILT3701', 'ILT3702', 'ILT3711', 'ILT3721', 'ILT3722', 'ILT3731', 'ILT3732', 'ILT3750', 'ILT4501', 'ILT4701', 'ILT4711', 'ILT4721', 'ILT4722', 'ILT4732', 'ILT4741', 'ILT4742', 'ILT4750', 'ILT4752', 'ILT4762', 'ISL3360', 'ISL3460', 'ISL3450']"
SBP,"['SBP3100', 'SBP1300', 'SBP1310', 'SBP1312', 'SBP2300', 'SBP2310', 'SBP2320', 'SBP2330', 'SBP2340', 'SBP2350', 'SBP2900', 'SBP2910', 'SBP3300', 'SBP3310', 'SBP3320', 'SBP3330', 'SBP3340', 'SBP3350', 'SBP3360', 'SBP3370', 'SBP3380', 'SBP3400', 'SBP3410', 'SBP3420', 'SBP3900', 'SBP3910', 'SBP3920', 'SBP3930', 'SBP3010', 'SBP4300', 'SBP4310', 'SBP4320', 'SBP4330', 'SBP4340', 'SBP4350', 'SBP4360', 'SBP4370', 'SBP4380', 'SBP4390', 'SBP4400', 'SBP4410', 'SBP4420', 'SBP4430', 'SBP4440', 'SBP4450', 'SBP4460', 'SBP4470', 'SBP4480', 'SBP4490', 'SBP4900', 'SBP4910', 'SBP4920', 'SBP4920', 'SBP4930', 'SBP4940', 'SBP4950', 'SBP4960', 'SBP4012', 'SBP4022', 'SBP4032', 'SBP4042', 'SBP4052', 'HRT3401', 'MIM3531', 'IST2172', 'IST2170', 'IST4160']"
MIM,"['MIM2020', 'MIM3550', 'MIM4510', 'MIM3540', 'MIM3101', 'MIM3171', 'MIM3121', 'MIM3131', 'MIM3141', 'MIM3151', 'MIM3182', 'MIM3122', 'MIM3142', 'MIM3132', 'MIM4111', 'MIM3441', 'MIM3352', 'MIM3312', 'MIM4121', 'MIM4131', 'MIM4141', 'MIM4151', 'MIM4161', 'MIM4162', 'MIM4122', 'MIM4132', 'MIM4152', 'MIM3531', 'MIM3371', 'MIM4061', 'MIM3272', 'MIM3560', 'MIM3192', 'MIM3201', 'MIM3211', 'MIM3221', 'MIM3281', 'MIM3311', 'MIM3251', 'MIM3261', 'MIM3271', 'MIM3202', 'MIM3212', 'MIM3222', 'MIM3232', 'MIM3242', 'MIM3282', 'MIM3262', 'MIM3361', 'MIM3362', 'MIM4102', 'MIM4201', 'MIM4211', 'MIM4221', 'MIM4231', 'MIM4241', 'MIM4251', 'MIM4261', 'MIM4291', 'MIM4202', 'MIM4212', 'MIM4222', 'MIM4282', 'MIM4242', 'MIM4252', 'MIM4292', 'MIM4262', 'MIM4600', 'MIM2680', 'MIM3010', 'MIM4341', 'MIM3172', 'MIM4181', 'MIM3332', 'MIM3351', 'MIM3451', 'MIM3321', 'MIM3331', 'MIM3341', 'MIM3322', 'MIM4511', 'MIM4101', 'MIM4351', 'MIM3461', 'MIM4321', 'MIM4302', 'MIM4342', 'MIM4322', 'MIM4332', 'MIM2421', 'MIM1412', 'MIM1422', 'MIM2411', 'MIM4012', 'MIM4022', 'MIM4032', 'MIM4042', 'SBP2010', 'IST1870']"
